route,dep,arr,dep_country,arr_country,type,year,region,carrier,hub_dest,forecast_pax,captured_uncapped,capacity,feed_beyond,feed_behind,p2p_outturn,fc_over_p2p,outturn_pax,fc_over_out,natural,propensity,propensity_basis,gcd_km
SHE-DMK,SHE,DMK,CN,TH,LCC,2016,INTL,XW,True,26629,25890,129480,727,13,106562,0.243,106654,0.25,37372,0.9783,qsi-share,3790
YTY-KIX,YTY,KIX,,JP,LCC,2016,INTL,9C,True,1416,0,56160,19,1396,52204,,53441,0.026,0,1.0,qsi-share,1452
RIZ-PEK,RIZ,PEK,,CN,FSC,2016,INTL,SC,True,0,0,121576,0,0,87349,,92006,,0,1.0,qsi-share,571
SYX-ICN,SYX,ICN,CN,KR,LCC,2016,INTL,TW,True,36929,36460,78000,368,101,96535,0.378,96642,0.382,48517,0.5617,qsi-share,2699
DEL-SFO,DEL,SFO,IN,US,FSC,2016,INTL,AI,True,162048,134824,297024,1301,25924,57647,2.339,121875,1.33,123299,0.9544,qsi-share,12376
WUH-FCO,WUH,FCO,CN,IT,FSC,2016,INTL,CZ,True,40637,3142,209040,365,37130,8940,0.351,55212,0.736,2732,1.0,qsi-share,8665
MRU-SIN,MRU,SIN,MU,SG,FSC,2016,INTL,MK,True,7159,5399,171600,88,1673,15049,0.359,83822,0.085,4694,1.0,qsi-share,5588
RUH-MLE,RUH,MLE,SA,MV,FSC,2016,INTL,SV,False,30525,7306,142688,732,22487,6198,1.179,44400,0.688,6353,1.0,qsi-share,3679
GBT-MHD,GBT,MHD,IR,IR,FSC,2016,OTH,EP,False,28907,35630,34008,0,17,27851,1.279,29819,0.969,65475,0.4732,qsi-share,473
KRT-DAM,KRT,DAM,SD,SY,FSC,2016,OTH,4J,False,3,0,147680,3,0,41989,,43186,0.0,0,1.0,qsi-share,2018
DOH-BOS,DOH,BOS,QA,US,FSC,2016,INTL,QR,True,34006,3104,412048,244,30657,10274,0.302,141509,0.24,2699,1.0,qsi-share,10464
ATL-DOH,ATL,DOH,US,QA,FSC,2016,INTL,QR,True,7268,2470,500656,3774,1024,7298,0.338,179505,0.04,2170,0.9897,qsi-share,11978
KRT-DMM,KRT,DMM,SD,SA,LCC,2016,INTL,XY,True,48108,48108,68224,0,0,32040,1.502,32293,1.49,35636,1.0,qsi-share,2153
HMB-HOF,HMB,HOF,EG,SA,LCC,2016,MEA,SM,False,246,220,36816,21,4,11013,0.02,11015,0.022,169,0.9672,qsi-share,1778
PSA-DOH,PSA,DOH,IT,QA,FSC,2016,INTL,QR,True,13827,2126,192192,9888,1813,3307,0.643,77214,0.179,3159,0.5853,qsi-share,4236
DAM-NJF,DAM,NJF,SY,IQ,FSC,2016,OTH,6Q,False,43627,43627,164632,0,0,56594,0.771,57304,0.761,37936,1.0,qsi-share,755
IKA-TBS,IKA,TBS,IR,GE,FSC,2016,OTH,I3,False,3008,2266,364416,451,292,21995,0.103,22286,0.135,3893,0.5062,qsi-share,879
OSR-DXB,OSR,DXB,CZ,AE,LCC,2016,INTL,QS,True,3067,12,0,2,3052,9162,0.001,9184,0.334,18,0.5024,qsi-share,0
PFO-HFA,PFO,HFA,CY,IL,FSC,2016,INTL,U8,False,0,0,31200,0,0,6633,,6633,,0,0.1911,qsi-share,317
VDA-KUN,VDA,KUN,,LT,ULCC,2016,INTL,FR,False,3409,3409,0,0,0,11002,0.31,11002,0.31,1894,1.0,qsi-share,0
ROS-PTY,ROS,PTY,AR,PA,FSC,2016,LATAM,CM,True,1124,16,64064,1056,53,11345,0.001,103499,0.011,21,0.6535,qsi-share,5063
AXM-PAC,AXM,PAC,CO,PA,FSC,2016,LATAM,7P,False,3442,3412,31200,30,0,17437,0.196,18398,0.187,222391,0.0133,qsi-share,653
PUJ-ORY,PUJ,ORY,DO,FR,FSC,2016,INTL,TX,True,13225,11778,147680,544,903,77843,0.151,79029,0.167,145506,0.4099,qsi-share,7059
XUZ-KIX,XUZ,KIX,CN,JP,LCC,2016,INTL,8L,True,3447,775,38688,3,2669,23292,0.033,23331,0.148,702,0.8178,qsi-share,1650
ABX-BNE,ABX,BNE,AU,AU,FSC,2016,APAC,JG,True,17503,41730,20592,291,284,18586,2.245,18624,0.94,239567,0.1515,qsi-share,1127
SYD-OOM,SYD,OOM,AU,AU,FSC,2016,APAC,ZL,False,0,0,17680,0,0,12744,,13854,,0,0.915,qsi-share,330
MNL-SPN,MNL,SPN,PH,MP,FSC,2016,OTH,2P,False,4683,4623,64896,8,53,7845,0.589,10938,0.428,4546,0.8842,qsi-share,2652
BNE-ARM,BNE,ARM,AU,AU,FSC,2016,APAC,FC,False,1080,973,11856,56,51,10122,0.096,10225,0.106,1256,0.674,qsi-share,377
RSS-KRT,RSS,KRT,SD,SD,FSC,2016,OTH,J4,False,0,0,22880,0,0,19563,,20268,,0,1.0,qsi-share,463
MRU-IST,MRU,IST,MU,TR,FSC,2016,INTL,TK,True,7859,959,180336,6852,48,4664,0.206,120499,0.065,834,1.0,qsi-share,7445
KHX-KSE,KHX,KSE,,UG,FSC,2016,OTH,A8,False,0,0,16016,0,0,5649,,7914,,0,1.0,qsi-share,109
SXB-CZL,SXB,CZL,FR,DZ,FSC,2016,INTL,SF,False,27404,31306,32240,24,11,8819,3.55,8828,3.104,69556,0.3918,qsi-share,1365
CMN-SVO,CMN,SVO,MA,RU,FSC,2016,INTL,AT,True,12320,8843,99216,169,3307,11968,0.739,35068,0.351,9198,0.908,qsi-share,4239
KTL-LOK,KTL,LOK,KE,KE,FSC,2016,AFR,B5,False,524,524,36920,0,0,15022,0.035,16975,0.031,9690,0.047,qsi-share,249
SFA-MRA,SFA,MRA,TN,LY,FSC,2016,INTL,8U,False,1315,1289,34944,24,2,28893,0.045,28915,0.045,10807,0.1037,qsi-share,484
SAV-IND,SAV,IND,US,US,ULCC,2016,NA,G4,False,31294,45958,36816,0,0,10456,4.395,10456,2.993,58025,0.44,qsi-share,959
CVG-PHX,CVG,PHX,US,US,ULCC,2016,NA,F9,True,111384,160606,131040,0,0,91666,1.752,92158,1.209,279141,0.3196,qsi-share,2517
STL-ICT,STL,ICT,US,US,LCC,2016,NA,WN,False,26000,10703,193336,696,14601,42992,0.249,145561,0.179,10101,0.7849,qsi-share,626
XTL-XLB,XTL,XLB,CA,CA,FSC,2016,NA,YP,False,0,0,9880,0,0,4882,,5453,,3790,0,qsi-share,171
GLH-BNA,GLH,BNA,US,US,FSC,2016,NA,4B,True,2864,159,11232,2705,0,3743,0.042,5604,0.511,20776,0.0066,qsi-share,491
RNO-BOI,RNO,BOI,US,US,FSC,2016,NA,AS,False,32817,27033,55328,1658,4126,26704,1.012,38784,0.846,58153,0.4042,qsi-share,539
AGP-JFK,AGP,JFK,ES,US,FSC,2016,INTL,DL,True,69196,48358,329056,2018,18820,22098,2.188,35431,1.953,48955,0.8835,qsi-share,5871
BWI-AVL,BWI,AVL,US,US,ULCC,2016,NA,G4,False,27133,27133,34528,0,0,20319,1.335,20321,1.335,143886,0.2258,qsi-share,663
PIT-SFB,PIT,SFB,US,US,ULCC,2016,NA,G4,True,29349,73580,34528,0,0,33153,2.219,33159,0.885,678672,0.4143,qsi-share,1305
ASE-ORD,ASE,ORD,US,US,FSC,2016,NA,AA,True,18564,872,21840,39916,555,31101,0.028,79317,0.234,790843,0.001,qsi-share,1625
KEF-ORD,KEF,ORD,IS,US,FSC,2016,INTL,FI,True,39566,4333,332176,164,35069,67021,0.065,126110,0.314,4929,0.7677,qsi-share,4723
YZV-YBC,YZV,YBC,CA,CA,FSC,2016,NA,P6,False,11383,11315,14560,66,2,6281,1.801,6667,1.707,37980,0.3886,qsi-share,185
DFW-ANC,DFW,ANC,US,US,FSC,2016,NA,AA,True,48797,24145,57408,36,33777,12349,1.955,38889,1.255,22380,0.9382,qsi-share,4886
