route,carrier,year,n_markets,q_flown,q_best,opt_over_flown,best_dep
CAI-BEG,MS,2019,44,0.09862,0.13143,1.333,360
GOT-MAN,FR,2019,72,0.13627,0.14763,1.083,720
GNV-DFW,AA,2019,96,0.46676,0.46676,1.0,
KIX-SEA,DL,2019,86,0.21407,0.41929,1.959,1200
DAL-MSP,WN,2019,53,0.30542,0.36939,1.209,480
IAD-AVL,UA,2019,7,0.0298,0.06276,2.106,600
GCM-DEN,KX,2019,86,0.49332,0.52558,1.065,120
ATL-ONT,DL,2019,8,0.00292,0.00424,1.452,0
PHL-AVL,AA,2019,7,0.01767,0.03883,2.197,240
VIE-YUL,OS,2019,62,0.21023,0.30932,1.471,1200
DTW-SJC,DL,2019,16,0.01044,0.01385,1.327,120
LAX-HEL,AY,2019,90,0.2532,0.29773,1.176,720
IAD-TLV,UA,2019,30,0.04934,0.05363,1.087,1200
MSP-ICN,DL,2019,102,0.40447,0.57716,1.427,1080
MIA-CMN,AT,2019,86,0.12334,0.2082,1.688,240
RDU-ALB,F9,2019,3,0.38165,0.38775,1.016,240
LHR-NQY,BE,2019,6,0.60916,0.61276,1.006,840
SHJ-PRG,G9,2019,76,0.27206,0.33686,1.238,120
ALC-OPO,FR,2019,12,0.01446,0.28851,19.953,1080
MAD-OLB,IB,2019,12,0.00288,0.01552,5.392,240
GIG-LGW,DI,2019,126,0.13347,0.14331,1.074,0
VCE-STN,FR,2019,27,0.10363,0.10755,1.038,360
LHR-IOM,BE,2019,7,0.00141,0.07389,52.558,600
BOD-KRK,FR,2019,11,0.00532,0.01263,2.373,360
VOZ-MSQ,B2,2019,22,0.28479,0.28479,1.0,
MLN-LEI,IB,2019,11,0.00127,0.28431,224.31,720
LRM-VKO,ZF,2019,99,0.65984,0.79601,1.206,240
RMU-MAN,FR,2019,53,0.96392,0.97279,1.009,240
OZZ-BOD,FR,2019,46,0.53485,0.58083,1.086,240
VGO-CDG,IB,2019,177,0.13347,0.28056,2.102,360
CPH-NTE,U2,2019,21,0.01086,0.01086,1.0,
ORY-KBP,ZI,2019,26,0.18026,0.29143,1.617,480
PEG-MLA,FR,2019,2,0.40909,1.0,2.444,120
MUC-LCY,BA,2019,12,0.02158,0.05013,2.323,360
NAP-AGP,FR,2019,13,0.31361,0.33592,1.071,600
IST-RAK,TK,2019,5,0.00482,0.04425,9.183,840
